Name,Email,Mobile
"
            Jawahar Navodaya Vidyalaya            030377
",jnvbikram@rediffmail.com,
"
            St.xavier's Social Service Society            040001
",sxsss@ssxsss.org,
"
            Asoplav Nidhi            040003
",sarafound@icenet.net,
"
            Queen Of Angels Convent School            040005
",qac_school2005@yahoo.co.in,
"
            Tree House High School            040007
",jigyaparikh07@gmail.com,8200247674
"
            Kendriya Vidyalaya            040008
",kvbsdantiwadaf@yahoo.co.in,
"
            Logos Mission Hr.sec School            040010
",jacob_logos@yahoo.com,
"
            Seth C.l. Hindi High School,            040013
",,
"
            St. Xavier's High School            M04016
",xavmirzapur@icenet.net,
"
            Gracious English School            040017
",gracious_school@yahoo.com,
"
            Anand Vidhyalaya,c/o Anandba,            040019
",,9824012012
"
            Noori Higher Secondary School - Dhrol            M04020
",niosdhrol@gmail.com,9979389473
"
            Razvi High School - Lalpur            M04021
",niosdhrol@gmail.com,"9879231786, 0289722218"
"
            Jamia Ayesha Madarsatul Banat - Dhrol            M04022
",niosdhrol@gmail.com,9979389473
"
            Peer Haji Alisha Bukhari High            M04023
",noorej1999@gmail.com,9913056888
"
            Boon Max English Medium School            M04024
",,
"
            Kendriya Vidyalaya            040026
",kvsacvastrapur@yahoo.co.in,
"
            Kendriya Vidyalaya            040027
",kvlbrd@yahoo.co.in,
"
            Kendriya Vidyalaya            040029
",kviffcogd@yahoo.co.in,
"
            Grow More Foundation            040031
",info@growmore1.org,
"
            Bright High School            040033
",hareshbhai.trivedi@yahoo.com,
"
            St.mary's School            M04034
",stmarynios@gmail.com,"9427255087, 2812579115"
"
            Janta Kalyan Samiti            050001
",jksmehlawat@yahoo.com,
"
            Rural Vocational Training Institute            050003
",rvtiberi@yahoo.co.in,
"
            Kendriya Vidyalaya No. 1            050019
",kvfbdl@rediffmil.com,
"
            New Era Senior Secondary School            050026
",mittalsurya@yahoo.co.in,"9215173188, 9215173188"
"
            St. Theresa's Convent School            050027
",stcnp@rediffmail.com,9729557791
"
            Saini Sr.sec.school            050046
",snn136@yahoo.com,
"
            Navyug Public School            050047
",npssonipat@gmail.com,9813092772
"
            Capt. R.c. Sr.sec.school            050049
",captrcsss@gmail.com,9416489099
"
            Shiv Shakti Sr. Sec. School            050051
",narender_sssss@yahoo.com,
"
            Adarsh High School            050055
",adarsh050055@gmail.com,"9416589698, 9255491719, 0125423312"
"
            Yog High School            050058
",yogschool@rediffmail.com,
"
            Dharamvati Public Sr. Sec. School            050066
",dharamvati@gmail.com,8950936274
"
            K.c.m Army Sr.sec.school            050075
",kcm1996@rediffmail.com,
"
            Adarsh Sr.sec.school            050077
",ysmalwal@gmail.com,
"
            Mann Singh High School            050086
",,
"
            Ilyas Public School            M05090
",ipschool2000@yahoo.com,
"
            Gaur Brahman Vidya Parcharini Sabha            050094
",gbvpsabha@rediffmail.com,
"
            New Tagore Sr. Sec. School            050098
",suman_khurana42@yahoo.com,
"
            R. C. Memorial Sr. Sec. School            050100
",rcm_jahazgarh@yahoo.co.in,
"
            Navyug High School            050102
",info@navyughighschool.org,"0925430505, 0127626191"
"
            Arya Senior Secondary School            050108
",arya_dhigawa@rediffmail.com,
"
            Nehru Senior Secondary School            050110
",nehru_school@rediffmail.com,
"
            Mother India High School            050115
",,
"
            Mamta Girls Senior Secondary School            050116
",diwakar_sirsa@yahoo.co.in,
"
            Shivalik Senior Secondary School            050117
",narender_vidhyajyoti@yahoo.co.in,
"
            Nalwa Lovely Public School            050128
",nlps_nios@rediffmail.com,
"
            Modern Sr. Secondary School            050129
",rsangwan30@gmail.com,9812459751
"
            N.R.Hindu Sr.Sec.School            050132
",nrhss.school@gmail.com,9355717002
"
            Dewan Bal Krishan Public School            050134
",b.k.narwana@yahoo.com,
"
            Happy Sr. Sec. School            050140
",,
"
            Bal Bharti Sr.sec.school            050147
",balbharti_phideri@yahoo.co.in,
"
            Saraswati Vidya Mandir High School            050148
",svmbhattu@yahoo.com,9416944193
"
            Saint Nischal Sr.sec.school            050149
",saintnischal_2007@yahoo.co.in,
"
            Arya Sr. Sec. School            050150
",aryaschool@yahoo.co.in,
"
            Sarvodaya Shiksha Sadan            050152
",bsaharanl@gmail.com,9896421370
"
            Adharsh Bal Vidya Kendrasr.s.school            050156
",abvk_school@yahoo.co.in,9873830102
"
            M.d.n.sr.sec.school            050158
",,"9416121765, 9255333025"
"
            Geeta Sr.sec.school            050160
",dev.sangwan@rediffmail.com,
"
            Gyandeep Sr.sec School            050164
",rishab.khakhana@yahoo.com,
"
            Holy Angel High School            050166
",holyangell993@gmail.com,"9896254866, 9896254866"
"
            Maharishi Vidya Mandir            050169
",,9416314128
"
            Gaur Sr.sec School            050189
",,
"
            Shiv High School            050192
",ssss_dhigawa@yahoo.co.in,"9416526710, 0125225761"
"
            Brm Gaur High School            050196
",gaur_high_school@yahoo.co.in,
"
            Evergreen High School            050200
",evergreen_adampur@rediffmail.com,
"
            A.P.G. Public School            050206
",apgpublicschool7@gmail.com,9255495032
"
            N.r.j.high School            050207
",nrjsrsecschool@yahoo.co.in,
"
            Nirmal Sr. Sec. Public School            050211
",ajayco_nps@yahoo.co.in,9896261221
"
            Golden Sr. Sec. School            050214
",goldenschool_2007@rediffmail.com,
"
            Holy Heart Sec School            050215
",,
"
            VIVEK VIDYA SADAN SR.SEC SCHOOL            050221
",vivekvidya_sadan@yahoo.com,
"
            Gyan Deep Sr.Sec School            050226
",goyal_jatin@rediffmail.com,
"
            Red Roses Public Sr. Sec. School            050236
",redrosespublicschool1@gmail.com,9017112277
"
            Vivekanand Sr. Sec. School            050237
",,9254317770
"
            S. K. Sr. Sec School            050246
",skschool050246@rediffmail.com,
"
            Tarun Niketan Sr.secondary School            050255
",,
"
            Bansi Vidya Niketan Sr. Sec. School            050258
",bansividyaniketan00@gmail.com,"9212461728, 9212461732, 9873926692"
"
            Vidya Bharti Sr.sec.school,            050259
",rajesh11272@yahoo.in,"9215815205, 9996312397"
"
            Saraswati Sr Sec School            050260
",malhotra88@gmail.com,
"
            Drona Public School            050261
",dronaschool@yahoo.com,9650430133
"
            DELHI PUBLIC SCHOOL            050262
",dpsggn@sify.com,
"
            L.c.r.t Public School            050269
",1crt@rediffmail.com,
"
            Bal Bharti Adarsh Vidhyalaya            050276
",,
"
            Sahid Bhagat Singh Sr.sec.school            050277
",sbrai@yahoo.in,
"
            Ramjas Senior Secondary School            050279
",ramjas.ramjas@gmail.com,
"
            District Jail, Faridabad            J05281
",supdtblbg.jail@hry.nic.in,9716770531
"
            Central Jail            J05282
",,
"
            Central Jail            J05283
",,
"
            Borstal Jail            J05284
",,
"
            District Jail            J05285
",,
"
            District  Jail            J05286
",,
"
            Govt. Sr. Sec. School            060007
",coordinatorniosg.bssssnr@yahoo.com,
"
            Govt. Senior Secondary School            060008
",gsssbanjar@yahoo.com,
"
            Govt. Sr. Sec. School            060009
",chambyal@yahoo.co.in,
"
            Govt. Sr. Sec. School            060010
",nios_chopal@yahoo.co.in,
"
            Govt. Sr.sec. School            060011
",gsssdaroh@rediffmail.com,
"
            Govt. Sr. Sec. School            060012
",nosarki@yahoo.co.in,
"
            Govt. Sr. Sec. School            060013
",,
"
            Govt.(b) Sr. Sec. School            060015
",veenasarao@yahoo.com,
"
            Govt. Boys Sr. Sec. School            060018
",govtboyssrsecschool_dharamshala@yahoo.com,
"
            Govt. Sr. Sec. School            060019
",radhikaupman@yahoo.co.in,
"
            Govt. Senior Secondary School            060020
",gssbkn@rediffmail.com,9418620325
"
            St. Luke's High School            060022
",stlukesolan@gmail.com,
"
            Akal Academy            060023
",aabsahib@rediffmail.com,
"
            Sanjay Gandhi Public Sr.sec School            060024
",sanjaygandhisml@yahoo.com,
"
            Govt. Senior Secondary School            060033
",mschandel_123@rediffmail.com,
"
            Govt. Sr. Sec. School            060038
",gssssarkaghat@rediffmail.com,
"
            B.l. Central Public School            060042
",,
"
            Hans Raj Memorial Model Senior            060044
",hrmrhn@rediffmail.com,
"
            St.soldier Convent Sr.sec. School            060045
",ssscsss_sadoh@rerdiffmail.com,9418124584
"
            Hill Grove Sr.sec.school            060047
",,
"
            Jai Him Nav Jyoti Sr. Sec. School,            060050
",jtalyana@yahoo.com,
"
            J.c.b. Public Sr.sec.publilc School            060051
",jagatbhardwaj_shimla@yahoo.co.in,
"
            Our Own English School,            060058
",awasthi35@yahoo.com,
"
            Govt.sr.sec.school            060062
",,
"
            Shiv Shakti Public Sr.sec.school            060066
",shivshaktidaryari@rediffmail.com,
"
            Hill Modern Public Sr.sec.school            060067
",,
"
            Shanti Niketan Public Sr.sec.school            060069
",,
"
            Holy Himalayan School            060071
",,
"
            Jawahar Navodaya Vidyalaya            060072
",jnvmandi@indiatimes.com,1905282046
"
            Sarvodaya Public Sr.sec.school            060074
",sarvodayapandoh060074@gmail.com,
"
            Naveep Public Sr. Sec. School            060075
",anilverma56@yahoo.com,
"
            Presentation Convent High School            070001
",pcschjam@gmail.com,
"
            Kendriya Vidyalaya No.1            070002
",sd_nagpal@yahoo.co.in,
"
            Kendriya Vidyalaya Leh            070007
",kv.lehladakh@gmail.com,"9992124238, 9622952688"
"
            Govt. Boys Higher Secondary School            070015
",,
"
            Girls Higher Sec. School            070017
",,
"
            Bright Furture Higher Secondary            070022
",accr@nios.ac.in,
"
            Arya Kanya Vidyalaya High School,            070023
",nitcojammu@yahoo.com,
"
            New Horizon Institute Of Secondary            M07024
",anantnag@yahoo.com,
"
            Jawahar Navodaya Vidyalaya            070028
",jnvsurankote@rediffmail.com,1965230084
"
            Don Bosco Academy            080003
",donboscoacademy@rediffmail.com,
"
            Al-Ameen Educational Society            M08004
",parveen04_taj@yahoo.com,
"
            St. Ann's High School            080005
",anns_puc@rediffmail.com,9535509862
"
            Sharada Vidya Niketan            080008
",svnnios@yahoo.co.in,
"
            Divya Shanti High School            080010
",dshighschool2@gmail.com,9886907755
"
            St. John's High School            M08016
",stjohnsschool080016@gmail.com,9980905454
"
            De Paul Institute Of Education            M08017
",,
"
            Universal College            080018
",sahana2031995@gmail.com,9632882656
"
            St.paul's High School,            M08019
",saintpaulsorg@yahoo.co.in,9448777864
"
            Deffodils High School            M08021
",,
"
            Delhi Public School            080022
",manjuarif@gmail.com,"9880340433, 0802972486"
"
            Swami Vivekananda Vidyashala            080023
",svvhs-1970@yahoo.co.in,
"
            Deccan International School            080024
",disblr2003@gmail.com,
"
            Model High School            M08025
",ahmed_rc@rediffmail.com,
"
            Bethany High School            M08026
",minikoshy2013@gmail.com,9449633142
"
            National Public High School            080027
",,
"
            Jdt Islam Orphanage            M09001
",niosjdt@gmail.com,
"
            M E S Women's College            090002
",meswccit@yahoo.com,
"
            Ansar English School            M09006
",principal@ansarschool.org,
"
            Anjali Hindi College            090007
",anjali_nios-studycentre@yahoo.com,
"
            Travancore Inst.of Sci.& Technology            090012
",tist@md3.vsnl.net.in,
"
            Bhavan's Vidya Mandir            090015
",bvm_clm@yahoo.com,
"
            Sreeniketan Centre For Social            090017
",sreeniketanschool@gmail.com,9961801554
"
            Labour India Public School            090019
",labourindia@vsnl.com,
"
            T.k.m. Higher Sec. School            090020
",tkmhssklm@yahoo.co.in,
"
            Rahmania H.s.school For            090021
",awhclt@sancharnet.in,
"
            Trinity Lyceum            090024
",trinitylyceum@gmail.com,
"
            K S Abdullah English Medium School            090025
",,
"
            Sree Vivekananda Higher Sec. School            090026
",svhsspalemad@gmail.com,"9446884422, 9446884422"
"
            Progressive English School,            090029
",090029nios@gmail.com,9744614971
"
            Mahatma Gandhi Public School,            090033
",principalmgps@gmail.com,9446958925
"
            Vyasa Vidya Peethom            090034
",090034nios@gmail.com,9446945220
"
            Sree Valluvanad Vidya Bhavan            090035
",svvb@rediffmail.com,
"
            Mar Ivonios Bethany School            M09037
",,
"
            Vedavyasa Vidyalayam Sr.secondary            090038
",,
"
            Saraswati Vidya Nikethan Public            090039
",saraswatiernakulam@gmail.com,
"
            Crescent Rsidential Higher            M09040
",crescentmail@sufy.com,
"
            Darul Hikam Residential School            M09041
",hikamschool@yahoo.com,
"
            Mar Dionysius Sr.sec.school            M09042
",contact@mdrishivalleyschool.com,
"
            Kendriya Vidyalaya            090045
",,
"
            Kendriya Vidyalaya No-2            090046
",,
"
            Vyas Vidyaniketan Central School            090051
",vyasachalakudy@gmail.com,
"
            Kendriya Vidyaloaya No-1            090052
",kvlkochi@rediffmail.com,
"
            Vidyadhiraja Vidyapeetom Central            090053
",,
"
            Markazul Uloom English School            M09059
",090059nios@gmail.com,8606613750
"
            M.t.i Central School Pottachira,            M09060
",mtics@sancharnet.in,466288726
"
            Noorul Huda Orphanage            M09061
",nhocheruthuruthy@gmail.com,"7034036006, 9846801888"
"
            Mit Trust English Medium School            M09062
",,
"
            C.k.m.s.s. Sr. Secondary School            090064
",nios090064@gmail.com,9446144109
"
            Ideal English Hr.sec.school            M09065
",idealeducation@gmail.com,
"
            Aleemul Islam Higher Sec.school            M09066
",,
"
            Jawahar Navodaya Vidyalaya            090067
",jnvcalicut@yahoo.co.in,
"
            Asha Kala Kendra            100002
",akk@sancharnet.in,
"
            Kendriya Vidyalaya            100006
",kvcmmjbp@yahoo.co.in,
"
            Kendriya Vidyalaya            100007
",kv_ujjain@rediffmail.com,
"
            Kendriya Vidyalaya No.1            100008
",hmkaushik66@gmail.com,
"
            Kendriya Vidyalaya No.1            100011
",kv1gwalior@yahoo.co.in,8114465272
"
            Diamond Convent High School            100014
",diamondgroupratlam@gmail.com,8319648588
"
            Kendriya Vidyalaya No. 1            100016
",,
"
            Chattrapati Shivaji Sr.sec Public            100019
",chhtrapti@yahoo.com,
"
            Maharishi Vidya Mandir            100024
",mumchhatarpur@yahoo.com,
"
            Maharishi Vidya Mandir            100031
",mvm.cwa@rediffmail.com,
"
            Ashutosh Hr. Sec. School            100035
",jrpatel_rns@yahoo.co.in,
"
            Lok Nayak Senior Secondary School            100038
",loknayak_rewa@rediffmail.com,
"
            Maharishi Vidya Mandir            100041
",mannupali@yahoo.com,
"
            J.p.s.hr.sec. School            100042
",jpshs10042_bhind@yahoo.com,
"
            Raghuvansh Higher Sec. School            100044
",hsshukla@rediffmail.com,
"
            Swami Vivekanand Higher Sec. School            100047
",svhsssvp@rediffmail.com,
"
            Pragya Higher Secondary School            100048
",darpan369@gmail.com,9755279334
"
            Arjun Higher            100050
",rkarjun1993@yahoo.co.in,9827845353
"
            Saraswati Hr. Sec. School Gondkala            100053
",saraswati100053@gmail.com,"9425874228, 9425874228"
"
            Bharat Mata Hr.sec.school            100055
",kishorebharatmata_sdl@rediffmail.com,7652248226
"
            Vivekanand Higher Sec. School            100059
",anilsvn@gmail.com,
"
            Vidya Bharti Higher Sec School,            100060
",vidyahss@yahoo.co.in,
"
            Surendrupaul Gramodaya Vidyalaya            100061
",dri_chitrakoot@chitrakoot.org,
"
            Sanjay Memorial Hr.sec School            100062
",sanjaymemorial2007@rediffmail.com,
"
            Shri Badari Prasad Dixt            100063
",bp_hss@rerdiffmail.com,
"
            Annie Besant Higher Sec School,            M10066
",yh_yadav@yahoo.co.in,
"
            Mahavir Singh Higher Sec. School            100068
",11pandeymahavver2007@rediffmail.com,
"
            Janta Higher Secondary School,            100073
",jantahssgarhwa100073@gmail.com,9009537870
"
            Vivekanand Public Hr.sec. School,            100074
",vivekanandsohagpur@yahoo.com,
"
            Vikram Higher Secondary School,            100075
",smshatta@rediffmail.com,
"
            Akshay Academy Hr. Secondary School            100076
",,
"
            Scope Public School,            100077
",aisect_bpl@sancharnet.in,
"
            Adarsh Higher Sec.school            100080
",samanvayak_100080@yahoo.co.in,9424316022
"
            Mahatma Gandhi Hr.sec.school            100081
",,9826802453
"
            Gulab Ucchatar Madhyamik Vidyalaya            100082
",ghss_bhadra@rediffmail.com,
"
            Care English Hr.sec.school            100083
",careenglishschool@yahoo.co.in,
"
            Sarvodaya Hr.sec.school            100084
",er.manoj_tiwari@rediff.com,"9893127109, 9425120591"
"
            Maharana Pratap Model Hr.sec.school            100085
",ravisrajput@rediffmail.com,
"
            Vishwa Bharti Higher Sec. School            100086
",invbiascg@yahoo.com,
"
            Patel Sr.sec.school            100088
",patelhssgormi@yahoo.co.in,
"
            Baba Nepali Higher Secondary School            100092
",guruhuru@rediffmail.com,9424352113
"
            Mata Beti Bai Public School,            100093
",mata_betibal@rediffmail.com,
"
            Shiva Higher Secondary School            100094
",,
"
            Adivasi & Viklang Hr.sec.school            M10095
",mesocietycwa@rediffmail.com,9424636290
"
            Anusuchit Jati Higher Sec School            100097
",,
"
            Ekta High School            100098
",ekta_svp@rediffmail.com,
"
            Sushil Montessory School            100101
",sushilmontessory.08@gmail.com,
"
            Model Foundation Higher Sec School            100104
",vidya90@dataone.in,
"
            Gyandeep High School Chandon            100105
",gyandeep.highschoolchandon@gmail.com,
"
            Saraswati Gyan Mandir High School            100109
",,
"
            Saroj High School            100111
",,9993220127
"
            Bright Career Convent High School            100113
",,
"
            St.usman Boys Model Madarsa            M10116
",,
"
            Ai-fiaha Public School            M10117
",,
"
            Kendriya Vidyalaya No-1            100119
",kvitarsi@mail.com,
"
            Kendriya Vidyalaya            100120
",kvdhanpuri@gmail.com,
"
            Kendriya Vidyalaya            100121
",mail@khdamoh.com,
"
            Kendriya Vidyalaya            100122
",,
"
            Kendriya Vidyalaya            100123
",kvnarsinghpur@yahoo.co.in,
"
            Kendriya Vidyalaya            100124
",,
"
            Kendriya Vidyalaya, No.2            100126
",kv2indorre@yahoo.co.in,
"
            Kendriya Vidyalaya            100127
",kv_balaghat@rediffmail.com,
"
            Kendriya Vidyalaya            100129
",barwahakv@gmail.com,
"
            ADARSH HIGHER SEC.SCHOOL            100133
",,
